question_id,factor
A01,emotional_stability
A02,competitiveness
A03,work_life_boundary
A04,external_motivation
A05,risk_tolerance
A06,logical_thinking
A07,work_life_value
A08,external_recognition
A09,extroversion
A10,emotional_sensitivity
A11,risk_aversion
A12,self_evaluation
A13,social_dependency
A14,emotional_stability
A15,leadership
A16,conscientiousness
A17,social_orientation
A18,stress_tolerance
A19,emotional_control
A20,growth_motivation
A21,emotional_expression
A22,cooperativeness
A23,stress_recovery
A24,anxiety_tendency
A25,empathy
A26,activity_level
A27,value_organization_vs_self
A28,obedience
A29,calmness
A30,cautiousness
A31,cognitive_style
A32,justice_sense
A33,stress_sensitivity
A34,decision_speed
A35,cooperation_competition
A36,intrinsic_motivation
B01,sociability
B02,uniqueness
B03,sociability
B04,activity_level
B05,emotional_sensitivity
B06,value_process_vs_result
B07,emotional_stability
B08,social_ease
B09,empathy
B10,responsibility_preference
B11,value_self_vs_world
B12,work_life_value
B13,value_cooperation_vs_competition
B14,innovation_orientation
B15,persistence
B16,consistency
B17,uniqueness
B18,sociability
B19,emotional_stability
B20,activity_level
B21,decision_speed
B22,growth_motivation
B23,action_orientation
B24,sensitivity
B25,straightforwardness
B26,inner_world
B27,flexibility
B28,persistence
B29,self_efficacy
B30,action_cautiousness
B31,empathy_balance
B32,planning
B33,self_evaluation
B34,decision_speed
B35,self_efficacy
B36,action_speed
